date,team_1,team_2,location,rank,elo,win_pct,scrape_date
Tue Mar 25,Moldova,Estonia,World Cup qualifier in Moldova,123 116,1356 1377,61% 39%,2025-02-26
Tue Mar 25,Montenegro,Faroe Islands,World Cup qualifier in Montenegro,79 145,1521 1278,88% 12%,2025-02-26
Tue Mar 25,North Macedonia,Wales,World Cup qualifier in North Macedonia,56 38,1611 1733,47% 53%,2025-02-26
Tue Mar 25,Azerbaijan,Belarus,Friendly in Azerbaijan,107 88,1399 1459,56% 44%,2025-02-26
Tue Mar 25,Cambodia,Aruba,Friendly in Cambodia,206 200,848 903,56% 44%,2025-02-26
Tue Mar 25,Dominican Republic,Puerto Rico,Friendly in the Dominican Republic,140 171,1289 1121,82% 18%,2025-02-26
Tue Mar 25,Russia,Zambia,Friendly in Russia,25 102,1788 1409,94% 6%,2025-02-26
Tue Mar 25,Sweden,Northern Ireland,Friendly in Sweden,36 69,1745 1560,84% 16%,2025-02-26
Tue Mar 25,Switzerland,Luxembourg,Friendly in Switzerland,19 91,1814 1445,94% 6%,2025-02-26
Tue Mar 25,Argentina,Brazil,World Cup qualifier in Argentina,2 5,2107 1997,77% 23%,2025-02-26
Tue Mar 25,Bolivia,Uruguay,World Cup qualifier in Bolivia,50 9,1659 1949,25% 75%,2025-02-26
Tue Mar 25,Chile,Ecuador,World Cup qualifier in Chile,39 12,1728 1910,38% 62%,2025-02-26
Tue Mar 25,Colombia,Paraguay,World Cup qualifier in Colombia,7 29,1979 1774,85% 15%,2025-02-26
Tue Mar 25,Venezuela,Peru,World Cup qualifier in Venezuela,37 41,1735 1723,66% 34%,2025-02-26
Tue Mar 25,Costa Rica,Belize,CONCACAF Champ qual in Costa Rica,52 175,1645 1094,98% 2%,2025-02-26
Tue Mar 25,Guatemala,Guyana,CONCACAF Champ qual in Guatemala,81 153,1507 1245,89% 11%,2025-02-26
Tue Mar 25,Honduras,Bermuda,CONCACAF Champ qual in Honduras,68 165,1561 1143,95% 5%,2025-02-26
